time,full_resp_time,full_high,full_low,full_text,full_replicas,full_workload,scaling_resp_time,scaling_replicas,scaling_workload,base_resp_time,base_workload
348,0.3226938,null,null,3,3,222.7334402,1.048235071,2,287.8,2.447284653,319.6
350,0.3226938,null,null,3,3,242.6,1.053473166,2,287.8,2.447284653,319.6
352,0.381352518,null,1,3,4,187.6,1.058935785,2,287.8,2.447284653,319.6
354,0.381143614,null,1,3,4,187.6,1.0629984,1,272.4,2.455196984,278.8
356,0.674329609,null,2,3,5,112,1.068067844,1,272.4,2.455196984,278.8
358,0.567042247,null,2,3,5,144.04526,1.089241252,3,287.4,2.45060241,303.4
360,0.56716141,null,2,3,5,41.8387,1.080605631,3,287.4,2.45060241,303.4
362,0.616109712,null,3,1,4,79.53906,1.386243813,3,287.4,2.45060241,303.4
364,0.614630925,null,3,1,4,157.5113,1.385349175,3,309.8686,2.448055838,332
366,0.581987679,2,3,null,5,174.68568,2.33952188,3,311.2605,2.448055838,332
368,0.589248202,2,3,null,5,203.2500499,2.285020243,3,269.5919,2.436492806,346
370,0.589562996,2,3,null,5,116.6500499,2.285020243,3,269.8,2.436492806,346
372,0.629024166,3,2,null,5,51.38630274,2.285020243,3,270,2.436492806,346
374,0.563526274,3,2,null,5,115.7998073,2.207811634,3,281.4,2.433393782,278.6
376,0.603559898,3,1,null,4,137.321643,2.207811634,3,281.2,2.433393782,278.6
378,1.041211198,3,1,null,4,151.62256,2.127640845,3,278.8,2.429240741,276
380,1.041747772,3,1,null,4,164.8,2.127640845,3,279,2.429240741,276
382,0.749074994,1,null,null,1,227.4,2.127640845,3,279.2,2.429240741,276
384,0.710257607,1,null,null,1,227.4,1.5775,3,282.6,2.425081411,247.4
386,0.710887985,1,null,null,1,227.4,1.5775,3,282.4,2.425081411,247.4
388,0.745527756,1,null,null,1,206,0.246414017,3,246.2,2.424034653,291.6
390,0.928099244,1,null,null,1,206,0.246414017,3,246.4,2.424034653,291.6
392,0.928281088,3,null,null,3,212,0.246414017,3,246.6,2.424034653,291.6
394,1.270105742,3,null,null,3,212,1.807708333,3,262.4,2.436738227,312
396,1.270292519,3,null,null,3,212,1.807708333,3,262.2,2.436738227,312
398,1.257608705,3,null,null,3,260.614857,1.96339779,3,246.8,2.427699317,330
400,2.27446559,3,null,null,3,262.334793,1.96339779,3,247,2.427699317,330
402,2.292154255,3,null,null,3,250.9996801,1.96339779,3,247.2,2.427699317,330
404,2.191952555,3,null,null,3,251,2.133833992,3,219.4,2.413986486,279.4
406,2.191952555,3,1,null,4,251,2.133833992,3,219.2,2.413986486,279.4
408,2.209283388,3,1,null,4,275.4,2.253916667,3,228.2,2.401348485,276.6
