time,full_resp_time,full_high,full_low,full_text,full_replicas,full_workload,base_resp_time,base_workload,scale_resp_time,scale_replicas,scale_workload
362,0.444475806,1,0,0,1,177.8,null,null,0.054955357,1,201.4
364,0.444475806,1,0,0,1,177.8,null,null,0.054955357,1,201.4
366,0.444475806,1,0,0,1,100.6,null,null,0.043006579,1,201.4
368,0.455806452,1,0,0,1,100.6,null,null,0.043006579,1,118
370,0.455806452,1,0,0,1,100.6,null,null,0.043006579,1,118
372,0.465302419,1,0,0,1,101.2,null,null,0.168853659,1,119.8
374,0.465302419,1,0,0,1,101.2,null,null,0.168853659,1,119.8
376,0.465302419,1,0,0,1,98,null,null,0.200182692,1,119.8
378,0.47516129,1,0,0,1,98,null,null,0.200182692,1,115.8
380,0.47516129,1,0,0,1,98,null,null,0.200182692,1,115.8
382,0.485040323,1,0,0,1,98,null,null,0.211865385,1,116.8
384,0.485040323,1,0,0,1,98,null,null,0.211865385,1,116.8
386,0.485040323,1,0,0,1,98,null,null,0.223764706,1,116.8
388,0.026597826,1,0,0,1,98,null,null,0.223764706,1,115.6
390,0.026597826,1,0,0,1,98,null,null,0.223764706,1,115.6
392,0.024907178,1,0,0,1,98,null,null,0.22282,1,120.6
394,0.024907178,1,0,0,1,98,null,null,0.22282,1,120.6
396,0.024907178,1,0,0,1,98,null,null,0.049935,1,120.6
398,0.025597826,1,0,0,1,98,null,null,0.049935,1,121.4
400,0.025597826,1,0,0,1,98,null,null,0.049935,1,121.4
402,0.024907579,1,0,0,1,98,null,null,0.033083333,1,121.4
404,0.024907579,1,0,0,1,98,null,null,0.033083333,1,121.4
406,0.024907579,1,0,0,1,98,null,null,0.040783333,1,121.4
408,0.024644815,1,0,0,1,98,null,null,0.040783333,1,121.6
410,0.024644815,1,0,0,1,98,null,null,0.040783333,1,121.6
412,0.024660638,1,0,0,1,98,null,null,0.040335821,1,120.4
414,0.024660638,1,0,0,1,98,null,null,0.040335821,1,120.4
416,0.024660638,1,0,0,1,98,null,null,0.04155,1,120.4
418,0.024784884,1,0,0,1,98,null,null,0.04155,1,116
420,0.024784884,1,0,0,1,98,null,null,0.04155,1,116
422,0.024682326,1,0,0,1,98,null,null,0.04155,1,116
